"Course Code","Course Instructor","Registered Students","Exam slot","Data"
"CH 105","Santosh J. Gharpure","242","2","2C-LA 102-11:35:00-12:30:002A-LA 102-09:30:00-10:25:002B-LA 102-10:35:00-11:30:00"
"CH 105","C. P. Rao","235","2","2C-LA 101-11:35:00-12:30:002A-LA 101-09:30:00-10:25:002B-LA 101-10:35:00-11:30:00"
"CH 105","R. B. Sunoj","242","2","2C-LA 102-11:35:00-12:30:002A-LA 102-09:30:00-10:25:002B-LA 102-10:35:00-11:30:00"
"CH 105","Suvarn Kulkarni","242","2","2C-LA 102-11:35:00-12:30:002A-LA 102-09:30:00-10:25:002B-LA 102-10:35:00-11:30:00"
"CH 105","Nandita Madhavan","218","9","9A-LA 102-15:30:00-16:55:009B-LA 102-15:30:00-16:55:00"
"CH 105","Santosh J. Gharpure","235","2","2B-LA 101-10:35:00-11:30:002A-LA 101-09:30:00-10:25:002C-LA 101-11:35:00-12:30:00"
"CH 105","Nandita Madhavan","235","2","2C-LA 101-11:35:00-12:30:002B-LA 101-10:35:00-11:30:002A-LA 101-09:30:00-10:25:00"
"CH 105","R. B. Sunoj","235","2","2B-LA 101-10:35:00-11:30:002A-LA 101-09:30:00-10:25:002C-LA 101-11:35:00-12:30:00"
"CH 105","R. Murugavel","242","2","2C-LA 102-11:35:00-12:30:002A-LA 102-09:30:00-10:25:002B-LA 102-10:35:00-11:30:00"
"CH 105","Santosh J. Gharpure","236","9","9A-LA 101-15:30:00-16:55:009B-LA 101-15:30:00-16:55:00"
"CH 105","R. B. Sunoj","218","9","9A-LA 102-15:30:00-16:55:009B-LA 102-15:30:00-16:55:00"
"CH 105","C. P. Rao","218","9","9B-LA 102-15:30:00-16:55:009A-LA 102-15:30:00-16:55:00"
"CH 105","C. P. Rao","242","2","2C-LA 102-11:35:00-12:30:002A-LA 102-09:30:00-10:25:002B-LA 102-10:35:00-11:30:00"
"CH 105","Nandita Madhavan","236","9","9B-LA 101-15:30:00-16:55:009A-LA 101-15:30:00-16:55:00"
"CH 105","Santosh J. Gharpure","218","9","9A-LA 102-15:30:00-16:55:009B-LA 102-15:30:00-16:55:00"
"CH 105","R. B. Sunoj","236","9","9A-LA 101-15:30:00-16:55:009B-LA 101-15:30:00-16:55:00"
"CH 105","Maheswaran S.","242","2","2A-LA 102-09:30:00-10:25:002B-LA 102-10:35:00-11:30:002C-LA 102-11:35:00-12:30:00"
"CH 105","Maheswaran S.","218","9","9A-LA 102-15:30:00-16:55:009B-LA 102-15:30:00-16:55:00"
"CH 105","R. Murugavel","218","9","9A-LA 102-15:30:00-16:55:009B-LA 102-15:30:00-16:55:00"
"CH 105","C. P. Rao","236","9","9B-LA 101-15:30:00-16:55:009A-LA 101-15:30:00-16:55:00"
"CH 105","Suvarn Kulkarni","218","9","9A-LA 102-15:30:00-16:55:009B-LA 102-15:30:00-16:55:00"
"CH 105","Nandita Madhavan","242","2","2C-LA 102-11:35:00-12:30:002A-LA 102-09:30:00-10:25:002B-LA 102-10:35:00-11:30:00"
"CH 105","","","","X2-LT 301-15:00:00-16:00:00X2-LT 302-15:00:00-16:00:00X2-LT 303-15:00:00-16:00:00X2-LT 202-15:00:00-16:00:00X2-LT 203-15:00:00-16:00:00X2-LT 304-15:00:00-16:00:00X2-LT 305-15:00:00-16:00:00X2-LT 306-15:00:00-16:00:00X2-LT 205-15:00:00-16:00:00X2-LT 206-15:00:00-16:00:003C-LT 301-08:30:00-09:25:003C-LT 302-08:30:00-09:25:003C-LT 303-08:30:00-09:25:003C-LT 202-08:30:00-09:25:003C-LT 203-08:30:00-09:25:008A-LT 304-14:00:00-15:25:008A-LT 305-14:00:00-15:25:008A-LT 306-14:00:00-15:25:008A-LT 205-14:00:00-15:25:008A-LT 206-14:00:00-15:25:00"
"CH 105","Maheswaran S.","236","9","9B-LA 101-15:30:00-16:55:009A-LA 101-15:30:00-16:55:00"
"CH 105","R. Murugavel","236","9","9B-LA 101-15:30:00-16:55:009A-LA 101-15:30:00-16:55:00"
"CH 107","Shobhna Kapoor","238","2","2C-LA 101-11:35:00-12:30:002B-LA 101-10:35:00-11:30:002A-LA 101-09:30:00-10:25:00"
"CH 107","A. Datta","235","9","9B-LA 101-15:30:00-16:55:009A-LA 101-15:30:00-16:55:00"
